python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
multiplier,英 [mltpla(r)]美 [mltpla],n. 乘数; 乘子;
camel,英 [kml]美 [kml],n. 骆驼;
simultaneously,英 [sml'tensl]美 [samltensl],adv. 同时地; 一壁; 齐; 一齐;
marshal,英 [mɑ:l]美 [mɑrl],n. 元帅; 典礼官; 执法官; 消防局长; vt. 整理，排列，集结; vi. 排列; 编队;
howdy,英 [hadi]美 [hadi],int.&n. 你好;
capitalization,英 [kptla'zen]美 [kptla'zen],n. 资本化;
forum,英 [f:rm]美 [frm],n. 论坛，讨论会，专题讨论节目; 集会的公共场所; 提供公开讨论的媒体; 法庭;
express,英 [kspres]美 [ksprs],v. 表达; 表示; 显而易见; 快递邮寄; adj. 特快的; 迅速的; 用快递寄送的;  明确的
expressive,英 [kspresv]美 [ksprsv],adj. 传神; 表示的，有表现力的，表达的; 意味深长的; 富于表情的;
headless,英 [hedls]美 [hdls],adj. 无头的; 无领导者的; 无头脑的; 无知的;
assignable,英 ['sanbl]美 ['sanbl],adj. 不可忽视; 可分配的，可归属的，可指定的;
instant,英 [nstnt]美 [nstnt],n. 瞬间，顷刻; 此刻; 当月; 速食食品，即溶饮料; adj. 立即的; 迫切的; 正在考虑的，
ease,英 [i:z]美 [iz],n. 安逸; 容易; 轻松，舒适; 不拘束，自在; vt. 减轻; 解除痛苦; 延缓; 松弛; vi
semicolon,英 [semikln]美 [semikoln],n. 分号;
stand,英 [stnd]美 [stnd],n. 立场; 台，看台; 停止; 抵抗; vi. 站立，起立; 竖直放置; 保持看法; 停滞; vt
overlay,英 [vle]美 [ovrle],v. 覆盖; 镀金; n. 覆盖物; 轮廓纸;
disclosure,英 [dskl(r)]美 [dsklo(r)],n. （发明等的）公开; 泄露，揭露; 开诚布公的话; 被公开的事情，被披露的秘闻;
jonathan,英 [dnθn]美 [dɑnθn],n. 乔纳森（男子名）;
simulated,英 [smjuletd]美 [smjletd],adj. 假装的; 冒充的; 仿造的; 模仿的; v. 假装( simulate的过去式和过去分词 
prominent,英 [prmnnt]美 [prɑmnnt],adj. 著名的; 突出的，杰出的; 突起的;
verbatim,英 [v:betm]美 [vrbetm],adj.& adv. （完全）照字面的（地），逐字的（地）; n. 逐字翻译;
happening,英 [hpn]美 [ hpn],n. 事件; 意外发生的事; v. 发生(happen的现在分词); 碰巧;
acceptance,英 [kseptns]美 [ksptns],n. 接受，接纳; [金融]承兑; 无怨接受（逆境、困境等）; 赞成;
descendant,英 [dsendnt]美 [dsndnt],n. 后裔; 后代; （由过去类似物发展来的）派生物; 弟子; adj. 下降的; 祖传的;
interleave,英 [ntli:v]美 [ntrliv],vt. 插入纸;
footprint,英 [ftprnt]美 [ftprnt],n. （尤指软地上的）脚印; （地板上的）脚印; <商>（建筑物或设备，尤指计算机）占用的空间; <
thaw,英 [θ:]美 [θ],vi. 解冻，融雪; 变缓和; 变得不冷淡; vt. 使融化; n. 融雪; 温暖气候; 放松;
kitty,英 [kti]美 [kti],n. 赌注; 共同的资金; <口>小猫;
conjunction,英 [kndkn]美 [kndkn],n. 连接; 连词; 联合，结合物; （恒星、行星等的）合;
fitness,英 [ftns]美 [ftns],n. 健康; 适当，适合; 合情理;
candlestick,英 [kndlstk]美 [kndlstk],n. 烛台;
breeze,英 [bri:z]美 [briz],n. 微风; 轻而易举的事; vi. 吹微风; 逃走;
predict,英 [prdkt]美 [prdkt],vt. 预言，预测; 预示，预告; vi. 预言，预示：预言某事，预言;
shebang,英 [b]美 [b],n. 工作; 事情; 陋屋; 住所;
elk,英 [elk]美 [lk],n. 麋鹿;
oink,英 [k]美 [k],n. <美>（猪的）呼噜声; vi. 发出猪呼噜般的声音;
senator,英 [sent(r)]美 [snt],n. 参议员;
rpm,英 [ɑ: pi: em]美 [ɑr],abbr. revolutions per minute 转数/分;
democrat,英 [demkrt]美 [dmkrt],n. 民主党人; 民主主义者，民主人士; <美>民主党党员;
sampler,英 [sɑ:mpl(r)]美 [smpl(r)],n. 采样器; 样板; 样品检查员;
richer,英 ['rtr]美 ['rtr],adj. 富裕的; 更富有的; 富人( rich的比较级 ); 深的; 强烈的;
spanish,英 [spn]美 [spn],n. 西班牙语( Spanish的名词复数 );
princess,"英 [prnses]美 [prnss, -ss, prnss]",n. 公主; 王妃（王族女性成员）; 女巨头，女名家; <古>女王;
dodge,英 [dd]美 [dɑd],vt.& vi. 闪躲; 回避; n. 躲避; 闪躲; 伎俩; 妙计;
teeth,英 [ti:θ]美 [tiθ],n. 齿; 牙( tooth的名词复数 ); 齿状部份; 致力于（ 有难度的事）; tooth的复数
costume,英 [kstju:m]美 [kɑstum],n. （戏剧或电影的）戏装，演出服; 服装，衣服; 泳装，常用于英式英语; （某地或某历史时期的）服
blast,英 [blɑ:st]美 [blst],n. 爆炸; 一阵（疾风等）; （吹奏乐器、哨子、汽车喇叭等突然发出的）响声; 突如其来的强劲气流;
fuzz,英 [fz]美 [fz],n. 绒毛，轻柔的物质; 竖起来的短细的毛发; vi. 作绒毛状飞散; 变成绒毛状; 变得模糊; v
beaker,英 [bi:k(r)]美 [bik],n. 烧杯; 高脚杯;
pathogen,英 [pθdn]美 [pθdn],n. 病菌，病原体;
ultimate,英 [ltmt]美 [ltmt],adj. 极限的; 最后的; 最大的; 首要的; n. 终极; 顶点; 基本原理; 基本事实;
adaptor,英 ['dpt(r)]美 [dpt],n. <美>编剧者，改编者;
motion,英 [mn]美 [mon],n. 运动; 手势; 动机，意向; 请求; vt. 打手势; 向某人点头或摇头示意; 打手势要求[指
licence,英 [lasns]美 [lasns],n. 许可证; 许可; 放纵; 放荡; vt. 特许; 发给执照;
arm,英 [ɑ:m]美 [ɑrm],n. 臂; 武器; [复数]战事; 权力; vi. 准备（斗争），准备行动（against）; vt
browse,英 [braz]美 [braz],vt.& vi. 浏览; 吃草; 随意翻阅; n. 浏览; 吃草; 放牧;
lassie,英 [lsi]美 [lsi],n. 少女;
synthetic,英 [snθetk]美 [snθtk],adj. 合成的; 人造的; 摹拟的，虚构的; [语]综合的; n. 合成物; 合成纤维; 合成剂;
factorization,英 [fktraizein]美 [fktraizein],n. 因数分解;
cake,英 [kek]美 [kek],n. 蛋糕; 糕饼; 块状物; 沉积物; vt.& vi. （使）结块; （使）胶; 涂厚厚的一层;
patient,英 [pent]美 [pent],adj. 有耐性的; 能容忍的; n. 病人; 患者; 病号;
richard,英 ['rtd]美 [r'ɑrd],n. 理查德（男子名）;
unsubscribe,英 [nsbskrab]美 [nsbskrab],n. 取消订阅; [医]注销，注销账户;
tablet,英 [tblt]美 [tblt],n. 药片; 碑，匾; 便笺簿; 小块; vt. 用碑牌纪念; 将（备忘录等）写在板上; 将…制成小
storm,英 [st:m]美 [strm],n. 暴风雨，暴风雪; [军]猛攻，冲击; 骚乱; 动荡; vi. 起风暴，下暴雨; 猛冲; 暴怒;
aria,英 [ɑ:ri]美 ['ɑrr],n. 咏叹调; 唱腔，唱段;
competition,英 [kmptn]美 [kɑmptn],n. 竞争; 比赛; 竞争者; [生]生存竞争;
doctrine,英 [dktrn]美 [dɑktrn],n. 教条，教义; 法律原则; 声明; 古语] 所教的东西，教育;
impossible,英 [mpsbl]美 [mpɑsbl],adj. 不可能的，做不到的; 难以忍受的; 不会有的，不能相信的; n. 不可能; 不可能的事;
proceed,英 [prsi:d]美 [prosid],vi. 进行; 前进; （沿特定路线）行进; （尤指打断后）继续说; n. 收入，获利;
elixir,英 [lks(r)]美 [lks],n. 酏剂; 炼金药，长生不老药;
deterministic,英 [dt:m'nstk]美 [dtm'nstk],adj. 确定性的;
unsupported,英 [nsp:td]美 [nsprtd],adj. 无支持的，无支援的;
fa,英 [fɑ:]美 [fɑ],n. 全音阶的长音阶第四音;
relaxation,,
hunks,,
cooldown,,
floyd,,
poc,,
opponent,,
travelling,,
foreground,英 [f:grand]美 [frgrand],n. 前景; 突出的地方， 最显著的位置;
chromium,英 [krmim]美 [kromim],n. [化学] 铬;
craig,英 [kreiɡ]美 [kreɡ],n. 克雷格(m.);
mass,英 [ms]美 [ms],n. 大量，大多; 块，堆，团; [物理学]质量; 弥撒曲; vt.& vi. （使）集中，聚集; 
water,"英 [w:t(r)]美 [wt, wɑt]",n. 水; 海水; 雨水; 海域; v. 给…浇水; 供以水; 加水稀释; 流泪;
damage,英 [dmd]美 [dmd],vt.& vi. 损害，毁坏; n. 损害，损毁; 赔偿金;
calculator,英 [klkjulet(r)]美 [klkjlet],n. 计算器; 计算者; 计算图表;
surface,英 [s:fs]美 [srfs],n. 表面; 外观，外表; 地面。水面; vi. 浮出水面; 在表面工作; 显露; vt. 使浮出水
repeating,英 [r'pi:t]美 [r'pit],adj. 反复的，重复的; v. 复述; 重做( repeat的现在分词 ); 重说; 重复发生;
goodbye,英 [gdba]美 [ɡd'ba],n. 再见;
nemo,英 ['ni:m]美 ['nimo],n. 现场转播节目;
complain,英 [kmplen]美 [kmplen],vi. 抱怨，诉苦; 申诉，控诉，抗议; vt. 诉说，申诉，控告[后面常跟从句];
trigonometric,英 [trɡn'metrk]美 [trɡn'metrk],adj. 三角法的，据三角法的;
aim,英 [em]美 [em],vt. 瞄准; 对准; 踢向; 挥向; vi. 旨在; 以…为目标; 致力于; 决定; n. 目的;
sensor,"英 [sens(r)]美 [sns, -sr]",n. 传感器，灵敏元件;
hertz,英 [h:ts]美 [hrts],n. <电>赫，赫兹（频率单位）; 周秒;
gecko,英 [gek]美 [geko],n. 壁虎;
australia,英 ['strel]美 [strelj],n. 澳大利亚人; adj. 澳大利亚的; 澳大利亚人的;
generational,英 [denrenl]美 [denrenl],adj. 生育的，世代的;
randomize,英 [rndmaz]美 [rndmaz],v. 使随机化，完全打乱，（使）作任意排列;
swallow,英 [swl]美 [swɑlo],vt.& vi. 吞，咽; 忍耐，忍受; vt. 不流露; <口>忍受，轻信; n. [鸟]燕子; 
valuable,"英 [vljubl]美 [vljubl, vlj-]",adj. 有价值的; 贵重的，宝贵的; 可评估的; n. 贵重物品，财宝;
fab,英 [fb]美 [fb],adj. <俚>极好的，绝妙的; 奇妙的;
plication,英 [pla'ken]美 [pla'ken],n. 褶皱，皱纹; 折术; 过程;
becoming,英 [bkm]美 [bkm],adj. <正>（衣服等）相配的; 合身的; 合适的; 与…相称的; n. <哲>（变化过程的）形成
unwrap,英 [nrp]美 [nrp],vt. 打开; 散开;
plug,英 [plg]美 [plɡ],n. 插头; 塞子; 消防栓; （内燃机的）火花塞; vt.& vi. 插上插头; vt. 插入; 
caption,英 [kpn]美 [kpn],n. 字幕; 标题，说明文字，字幕; 第三档 vt. 给（图片、照片等）加说明文字; 在（文件等）上
terrible,英 [terbl]美 [trbl],adj. 可怕的; 危害极大的; <非正>很糟的; 劣质的; adv. 口〉非常，很，极; n. 可
rebuild,英 [ri:bld]美 [ribld],vt. 重建; 恢复;  重新组装; 再形成某事物;
pain,英 [pen]美 [pen],n. 痛苦; 刻苦; 令人厌烦的人[事物]; 身体某部分的疼痛[不适]; vt.& vi. （使）疼
brush,英 [br]美 [br],n. 刷子，画笔; 灌木丛; 小冲突; vt. 刷; 擦; 掠过; 轻触; vi. 刷; 擦过;
brightness,英 ['bratns]美 [bratns],n. 亮度; 明亮; 光泽度; 灯火通明;
pasting,英 [pest]美 [pest],n. 涂，裱糊;
stocking,英 [stk]美 [stɑk],n. 长袜; 似长袜之物;
amoeba,英 ['mi:b]美 [mib],n. 阿米巴，变形虫; adj. 变形虫的;
peer,英 [p(r)]美 [pr],vi. 凝视; 盯着看; 隐退，若隐若现; 同等，比得上; n. 贵族; 同辈，同等的人; 同伴，伙
british,英 [brt]美 [brt],adj. 英国的; 英国人的; 不列颠的; 英国英语的; n. （总称）英国人; 英国英语;
redistribute,英 [ri:dstrbju:t]美 [ridstrbjut],vt. 重新分配; 再分配;
gotten,英 [ɡtn]美 [ɡɑtn],v. 得到( get的过去分词 ); 抓住; 说服; 受到（惩罚等）;
considerably,英 [knsdrbli]美 [knsdrbl],adv. 相当，非常，颇;
pace,英 [pes]美 [pes],n. 一步; 长度单位; 步幅，步调; 快步; vt. 踱步，走来走去; 步测; 调整步调; 训练马
uncle,英 [kl]美 [kl],n. 叔叔; 伯父; 舅父; 姑父，姨父;
glom,英 [glm]美 [glɑm],vt. 抢; 看; <俚>偷; 瞪;
dreamy,英 [dri:mi]美 [drimi],adj. 梦想的; 如梦的，梦幻般的; 轻柔的; 恍惚的;
whoops,"英 [wps]美 [hwps, wps, hwups, wups]",int. <口>哎哟（犯明显错误时的道歉）; n. 呐喊; 大叫( whoop的名词复数 ); 喘息
strike,英 [strak]美 [strak],vt. 攻击; 罢（工、课等）; 撞; 来到; vi. 罢工; 打击; 朝某一方向前进; n. 攻击
jim,英 [dm]美 [dm],"n. 铁撬; 吉米（Jimmy,男子名， James的昵称）; vt. 用铁撬撬开;"
sorry,英 [sri]美 [sɑri],adj. 遗憾的; 对不起的; 无价值的，低等的; 感到伤心的;
attend,英 [tend]美 [tnd],vi. 出席; 致力于，献身于; 侍候，照顾; 关注; vt. 出席，参加; [常用被动语态]（作为
understood,英 [ndrstd]美 [ndstd],v. 了解; 懂，理解( understand的过去式和过去分词 ); 默认; 听说;
funding,英 [fnd]美 [fnd],n. 提供资金; 用发行长期债券的方法来收回短期债券; v. 提供资金; “fund”的现在分词;
lexicographical,英 [leksk'grfkl]美 [leksk'grfkl],adj. 词典编纂的;
emit,英 [imt]美 [mt],vt. 发出; 发射; 颁布; 发表;
representative,英 [reprzenttv]美 [rprznttv],n. 代表; 继任者; 议员; 类似物; adj. 有代表性的; 典型的; 代议制的; 相当[类似]
budget,英 [bdt]美 [bdt],n. 预算; 预算案; 预算拨款; 一束; vt.& vi. 把…编入预算; 谨慎花钱; adj. 
administrator,英 [dmnstret(r)]美 [dmnstret],n. 管理者; 有管理（或行政）才能的人; [法]（由遗嘱检验法庭指定的）遗产管理人; 地产管理人;
conclusion,英 [knklu:n]美 [knklun],n. 结论; 结局; 断定，决定; 推论;
popularity,英 [ppjulrti]美 [pɑpjulrti],n. 普及; 流行; 名气，名望，通俗性，大众性; 人望;
safety,英 [sefti]美 [sefti],n. 安全; 安全性; 安全处所; 中卫; adj. 保障安全的;
untrustworthy,英 [ntrstw:i]美 [ntrstwri],adj. 不能信赖的，靠不住的;
operational,英 [prenl]美 [ɑprenl],adj. 即可使用的; （用于）操作的; 经营的; 军事行动的;
caution,英 [k:n]美 [kn],n. 警告; 小心; 〈英〉担保; 〈口〉须警惕的事或人; vt. 警告; 提醒;
idiomatic,英 [dimtk]美 [dimtk],adj. 符合语言习惯的，成语的; 含有习语的; adv. 符合语言习惯地; n. 符合语言习惯;
survey,英 [s:ve]美 [srve],vi. 测量土地; vt. 调查; 勘测; 俯瞰; n. 调查（表），调查所，测量，测量部，测量图;
india,英 ['nd]美 [nd],n. 印度（亚洲）;
korean,"英 [k'rn]美 [krin, k-, ko-]",n. 朝鲜人，朝鲜国民( Korean的名词复数 ); 朝鲜语;
newbie,英 [nju:bi]美 [nubi],n. 网络新手，新兵;
nite,英 [nat]美 [nat],n. <美>夜晚;
confuse,英 [knfju:z]美 [knfjuz],vt. 使困窘; 使混乱; 使困惑; 使更难于理解; vi. 使糊涂;
cardinal,英 [kɑ:dnl]美 [kɑrdnl],n. 红衣主教; 基数; 大红色，深红色; 女式斗篷; adj. 基本的，最重要的; 大红色的，深红
slowly,英 [slli]美 [sloli],adv. 缓慢地，慢吞吞地，慢腾腾地; 慢条斯理地，不慌不忙地，袅袅; 迟钝，痴痴呆呆地; 逐步;
chameleon,"英 [kmi:lin]美 [kmiljn, -milin]",n. 变色蜥蜴，变色龙;
swagger,英 [swg(r)]美 [swɡ],vi. 昂首阔步; 夸耀，炫耀; vt. 恐吓或欺负（某人）; n. 昂首阔步; 吹嘘，自大; ad
facet,英 [fst]美 [fst],n. 小平面; 侧面，方面; （昆虫的）小眼面; [建]柱槽筋; vt. 在…上琢面;
latent,英 [letnt]美 [letnt],adj. 潜在的; 潜伏的; 休眠的; 潜意识的; n. 指纹，指印;
localized,英 [lklazd]美 [loklazd],adj. 限局性的; 地区的; v. 使局部化( localize的过去式); 使具地方色彩;
adapted,英 ['dptd]美 ['dptd],adj. 适合的; v. （使）适应， （使）适合( adapt的过去式和过去分词 ); 改编，改写
agnostic,英 [gnstk]美 [gnɑstk],n. 不可知论者; adj. 不可知论（者）的;
microphone,英 [makrfn]美 [makrfon],n. 话筒; 扩音器，麦克风;
blacklist,英 [blklst]美 [blklst],n. （受怀疑、受冷遇等的）黑名单; vt. 把（某人）列入黑名单;
fade,英 [fed]美 [fed],vi. 褪去，失去光泽; 逐渐消逝; 凋谢，衰老; vt. 使褪色; adj. 乏味的，平淡的;
extender,英 [ks'tend]美 [k'stend],n. 混合剂，添加物;
office,英 [fs]美 [fs],n. 办公室; 办公楼; 问询处; 重要官职;
lettuce,英 [lets]美 [lts],n. 莴苣，生菜; <俚>纸币;
certify,英 [s:tfa]美 [srtfa],vt. （尤指书面）证明; 发证书给…; 证明（某人）患有精神病; 颁发（或授予）专业合格证书;
slim,英 [slm]美 [slm],adj. 细长的; 苗条的，纤细的; 微小的; 无价值的; vi. 使苗条; 减肥;
shitty,英 [ti]美 [ti],adj. 劣等的，较差的;
infer,英 [nf:(r)]美 [nf],vt. 推断; 猜想，推理; 暗示; 意指; vi. 作出推论;
modal,英 [mdl]美 [modl],n. <语法>情态动词; adj. 模式的; 情态的; 形式的; 语气的;
thermostat,英 [θ:mstt]美 [θrmstt],n. 恒温（调节）器;
memento,英 [mment]美 [mmento],n. 遗物，纪念品，用以回忆的东西;
foreman,英 [f:mn]美 [frmn],n. 工头，领班; 首席陪审员;
diesel,"英 [di:zl]美 [dizl, -sl]",n. 柴油机; 柴油机机车（或船等）;
alg,英 ['lɡ]美 ['lɡ],abbr. antilymphocyte globulin 抗淋巴球球蛋白(ALG); along 
configurable,英 [kn'fgrbl]美 [kn'fgrbl],adj. 结构的，可配置的;
logistics,"英 [ldstks]美 [lodstks, l-]",n. 物流; 后勤; 逻辑学; 组织工作;
puzzling,英 ['pzl]美 [pzl],adj. 使为难的，费解的，令人困惑的; v. 使迷惑，使难解( puzzle的现在分词 ); 为难
occupy,英 [kjupa]美 [ɑkjupa],vt. 占领; 使用，住在…; 使从事，使忙碌; 任职;
unified,英 ['ju:nfad]美 ['junfad],adj. 统一的; 一元化的; (unify 的过去式和过去分词); 统一标准的; v. 统一; 使
consumption,英 [knsmpn]美 [knsmpn],n. 消费; 肺病; 耗尽; [医学]消耗性疾病;
parity,英 [prti]美 [prti],n. 奇偶性; 平价，价值对等; 同等，平等;
tightly,英 [tatli]美 [tatl],adv. 紧紧地，坚固地，牢固地;
anymore,"英 ['enm:]美 [nimr, -mor]",adv. 现在; （不）再; 目前; 今后;
telephone,英 [telfn]美 [telfon],n. 电话; 电话机; （电话机的）话筒; 受话器; vt.& vi. 以电话传送（消息），给（某人
ben,英 [ben]美 [bn],n. 内室，起居室; [苏格兰]峰，山顶;
eviction,英 ['vkn]美 ['vkn],n. 逐出，赶出; （租地，租房等的）收回;
temporarily,英 [temprerl]美 [temprerl],adv. 暂时地; 临时地;
dc,英 [di:'si:]美 [di'si],abbr. da capo (Italian=again) （意大利语）又; double colu
maven,英 [mevn]美 [mevn],n. <美口>专家，内行;
youngest,英 [jgst]美 ['jɡst],n. 最小的儿子; adj. 年幼的( young的最高级 ); 有朝气的; 年轻人的; 青年的;
bounded,英 ['bandd]美 ['bandd],adj. 有界限的，有限制的; v. 跳( bound的过去式和过去分词 ); 弹回; 向上弹; 向
bare,英 [be(r)]美 [ber],adj. 光秃秃的; 赤裸的; （房间、柜子等）空的; 刚好够的; vt. 使赤裸; 使露出; 揭开
tracked,英 [t'rkt]美 [t'rkt],v. 跟踪( track的过去式和过去分词 ); 跟踪摄影; 留下（脏）足迹; 追随（潮流等）;
art,英 [ɑ:t]美 [ɑrt],n. 艺术; 艺术作品; （需要技术、工艺的）行业; 文艺（包括绘画、雕塑、建筑、音乐、舞蹈、戏剧、
useless,,
sj,,
faulty,,
heuristic,,
hawking,,
dispense,,
ostrich,,
topical,,
partner,英 [pɑ:tn(r)]美 [pɑrtn(r)],n. 伙伴; 同伴; 同伙; 配偶; vt. 使合作; 与…合伙; vi. 合伙; 合股; 成为搭档
hack,英 [hk]美 [hk],vt.& vi. 乱劈，乱砍; 开垦; 出租马车; n. 劈，砍; 干咳; 乘用马;
facilitate,英 [fsltet]美 [fsltet],vt. 帮助; 促进，助长; 使容易;
diana,英 [dain]美 [dan],n. 黛安娜（罗马神话中之处女性守护神，狩猎女神和月亮女神，相当于希腊神话中的Artemis），（诗
optimize,英 [ptmaz]美 [ɑptmaz],vt. 使最优化，使尽可能有效;
fractional,英 [frknl]美 [frknl],adj. [数]分数的，小数的; 微小的，极小的; 部分的，少量的; 零碎的;
tin,英 [tn]美 [tn],n. 锡; 马口铁; 罐头盒; 镀锡薄钢板; adj. 锡制的; 假冒的; 无价值的; 蹩脚的; v
redox,英 [redks]美 [ridɑks],n. 氧化还原作用;
ordinary,英 [:dnri]美 [rdneri],adj. 普通的; 一般的; 平常的; 平庸的;
pause,英 [p:z]美 [pz],n. 暂时的停顿; 犹豫; （诗中）节奏的停顿; [乐]延长号; vi. 暂停，中止; 逗留，停滞;
reserve,英 [rz:v]美 [rzrv],n. 储备; 保留; 保护区; 替补队员; vt. 储备; 保留; 预约; vi. 预订; adj.
illegal,英 [li:gl]美 [liɡl],adj. 不合法的，违法的; 违反规则的; n. 非法移民，非法劳工; 间谍;
rug,英 [rg]美 [rɡ],n. 小块地毯; 〈英〉（围盖膝的）围毯，车毯; 〈美俚男子假发;
plant,英 [plɑ:nt]美 [plnt],n. 工厂; 设备; 植物，草木; 庄稼; vt. 种植; 安，插; 建设，布置; 移民于;
criteria,英 [kra'tr]美 [kratr],n. （批评、判断等的）标准，准则( criterion的名词复数 ); (criterion的复数
father,英 [fɑ:(r)]美 [fɑ],n. 父亲; 天父; 祖先; （尤指天主教和东正教的）神父; vt. 成为父亲; 创立（新思想）; 
bigger,英 [bg]美 [bg],adj. 大的，长大的; 大的( big的比较级 ); 重要的; （计划） 庞大的; 大方的;
isolated,英 [asletd]美 [asletd],adj. 隔离的; 孤独的; 单独的; 偏远的; v. 使隔离(isolate的过去式和过去分词);
parrot,英 [prt]美 [pert],n. 鹦鹉; 应声虫，学舌者; 机械模仿别人的人; vt. 机械地重复; 随声附和; 死背; 做…的
handshake,英 [hndek]美 [hndek],n. 握手;
integrity,英 [ntegrti]美 [ntɡrti],n. 完整; 正直，诚实; [计算机]保存; 健全;
supposed,英 [spzd]美 [spozd],adj. 假定的; （按规定、法律、协议等）（不）应当; （只用于否定句）不准; （对某人所说的话表
neighbor,英 ['neb]美 [neb],n. <美>邻居，邻国; adj. 邻近的，邻接的; vi. 友好; 毗邻而居; vt. 邻接;
epoch,英 [i:pk]美 [epk],n. 时期; 纪元; 世; 新时代;
untangle,英 [ntgl]美 [ntɡl],vt. 整顿; 解开（某物的）结; 使不再打结; 解决（纠纷等）;
controlled,英 [kntrld]美 [kntrold],adj. 受约束的，克制的; v. 控制( control的过去式和过去分词 ); 管理; 限制; 
twine,英 [twan]美 [twan],n. 麻线; 盘绕; 捻; 缠绕在一起的东西; vt.& vi. 搓; 编; （使）盘绕; vi. 
publicly,英 ['pblkl]美 [pblkli],adv. 公开地; 由公众（或政府）; 为公众所同意; 以公众名义;
mutate,英 [mju:tet]美 [mjutet],vt.& vi. 变异; 突变; 改变; （使某物）变化;
russia,英 ['r]美 [r],n. 俄国人，俄罗斯人，俄语( Russian的名词复数 );
modem,英 [mdem]美 [modem],n. 调制解调器;
superimposition,英 [sju:prmp'zn]美 [sjuprmp'zn],n. 叠加; 叠置; 叠印; 被覆;
barney,英 [bɑ:ni]美 [bɑrni],n. 大吵大闹; 小矿车;
reproducible,英 [ri:pr'dju:sbl]美 [ripr'djusbl],adj. 能繁殖的，可再生的，可复写的;
continuing,英 [kn'tnj]美 [kn'tnj],adj. 继续的，连续的，持续的; v. 持续; 继续，连续( continue的现在分词 ); 逗
wildcard,英 ['waldkɑ:d]美 ['waldkɑd],n. 通配符;
tuning,英 ['tju:n]美 ['tjun],n. 调谐，调整，调音; v. 调整; 调音( tune的现在分词 ); （给收音机、电视等）调谐;
snowman,英 [snmn]美 [snomn],n. 雪人;
beneath,英 [bni:θ]美 [bniθ],prep. 在…的下方; （表示等级）低于; （表示状态）在…掩饰之下; （表示环境）在…影响之下;
dit,英 [dt]美 [dt],n. 摩尔斯讯号的短音，（电信）点;
pluralize,英 [plrlaz]美 [plrlaz],v. 使成复数，以复数形式表示;
leeway,英 [li:we]美 [liwe],n. 余地; （航行由于强风所致的）偏航; 时间损失，落后; 风压差，风压角;
matt,英 [mt]美 [mt],adj. 表面暗淡的; 无光泽的; 不光滑的; n. 无光表面; 衬边; vt. 使…无光; 把…熔
actively,英 ['ktvl]美 ['ktvl],adv. 活跃地，积极地;
measured,英 [med]美 [merd],adj. 仔细斟酌的，慎重的; 缓慢而又有节奏的; v. 测量; 衡量; 量( measure的过去
chromaticity,英 [krm'tst]美 [krom'tsti],n. 色品; 染色性;
chord,英 [k:d]美 [krd],n. （数学）弦; （乐器）弦; （音乐）和弦; <喻>心弦; vi. 和谐一致; [音乐]在一件乐
pail,英 [pel]美 [pel],n. 桶，提桶; 一桶的量;
hill,英 [hl]美 [hl],n. 小山，山冈; 斜坡; v. 把…堆成小山; 培土于…周围;
revenge,英 [rvend]美 [rvnd],n. 报仇，报复; vt. 为…报仇，报…之仇;
grant,英 [grɑ:nt]美 [grnt],vt. 授予; 承认; 同意; 准许; n. 拨款; 补助金; 授给物（如财产、授地、专有权、补助、
halt,英 [h:lt]美 [hlt],n. 暂停; 停止，中止; 小火车站; vt. 阻止; 使停止; 使中断; 使立定; vi. 停止，
begat,英 [b'get]美 [b'get],v. <废>beget的过去式;
translator,英 [trnslet(r)]美 [trnslet],n. 翻译家; 翻译者; 译员; 翻译机;
reproduce,英 [ri:prdju:s]美 [riprdus],vt.& vi. 复制，重现，再版; 生殖，繁殖; vt. 再现; 使再次发生;
gross,英 [grs]美 [gros],adj. 总的; 粗俗的; 显而易见的; 恶劣的; n. 总额; vt. 总共收入;
qualify,英 [kwlfa]美 [kwɑlfa],vt.& vi. （使）具有资格; 有权; 达标; vt. 限定，修饰; 描述，形容; 使合适; 证
tapping,英 ['tp]美 ['tp],n. 出渣，出钢，出铁; v. 开发( tap的现在分词 ); （从容器等）汲取（液体）; 割[打]
somehow,英 [smha]美 [smha],adv. 以某种方式，用某种方法; <非正>不知怎么地，不知道怎样，不晓得什么缘故; 设法，想办法，
plenty,英 [plenti]美 [plnti],n. 充裕; 富裕; adv. 大量; 很多; 十分; 足够有余; det. 大量; 很多; pro
owing,英 []美 [o],adj. 欠着的，应付的，未付的; v. 感激( owe的现在分词 ); 应把…归功于; 欠…债; 
te,英 [ti:]美 [d],n. 全音节的第七音;
yikes,英 [jaks]美 [jaks],int. <口>（表示惊讶）呀！;
strange,英 [strend]美 [strend],adj. 陌生的，生疏的; 奇怪的，古怪的; 疏远的; 外国的; adv. 奇怪地; 陌生地; 冷淡
nicholas,英 [nikls]美 [nkls],n. 尼古拉斯（男子名），来源于希腊语教名，含义是“征服+民族”;
proposal,英 [prpzl]美 [prpozl],n. 建议; 提议; 求婚; 〈美〉投标;
laptop,英 [lptp]美 [lptɑp],n. 便携式电脑;
preliminary,英 [prlmnri]美 [prlmneri],adj. 初步的，初级的; 预备的; 开端的; 序言的; n. 预赛; 准备工作; 初步措施; （对
cutting,英 [kt]美 [kt],adj. 锋利的，锐利的; 刺骨的，像刀割似的; 讽刺的，挖苦的; n. 切割; 剪报，剪辑; [园
